จังหวัด,ผลผลิต(ตัน),สัดส่วน,เนื้อที่เก็บเกี่ยว(ไร่),ผลผลิตต่อเนื้อที่เก็บเกี่ยว(กก.)
จันทบุรี,"85,915",33%,"55,455","1,549.27"
ตราด,"76,181",29%,"49,021","1,554.05"
สุราษฎร์ธานี,"38,794",15%,"29,206","1,328.29"
นราธิวาส,"12,991",5%,"24,057",540.01
ระยอง,"11,128",4%,"7,438","1,496.10"
นครศรีธรรมราช,"7,437",3%,"12,889",577.00
เชียงราย,"4,247",2%,"5,962",712.34
พังงา,"3,291",1%,"5,228",629.50
ศรีสะเกษ,"2,602",1%,"1,762","1,476.73"
พัทลุง,"1,800",1%,"4,915",366.23
สงขลา,"1,678",1%,"3,803",441.23
ยะลา,"1,638",1%,"3,277",499.85
พิษณุโลก,"1,317",1%,"1,307","1,007.65"
เชียงใหม่,"1,084",0%,"1,549",699.81
น่าน,"1,025",0%,"6,057",169.23
ตรัง,958,0%,"1,605",596.88
บึงกาฬ,944,0%,639,"1,477.31"
เลย,933,0%,"1,353",689.58
ชุมพร,856,0%,"2,495",343.09
สตูล,847,0%,"1,248",678.69
หนองคาย,727,0%,636,"1,143.08"
กระบี่,698,0%,"1,472",474.18
อุบลราชธานี,638,0%,461,"1,383.95"
กาญจนบุรี,611,0%,"1,089",561.07
ปัตตานี,608,0%,"1,560",389.74
สุโขทัย,549,0%,780,703.85
ประจวบคีรีขันธ์,342,0%,412,830.10
ปราจีนบุรี,314,0%,358,877.09
อุตรดิตถ์,266,0%,"1,074",247.67
พะเยา,245,0%,315,777.78
ระนอง,166,0%,480,345.83
ภูเก็ต,122,0%,241,506.22
เพชรบุรี,78,0%,217,359.45
ยโสธร,71,0%,66,"1,075.76"
อุทัยธานี,68,0%,82,829.27
นครนายก,65,0%,137,474.45
ราชบุรี,65,0%,184,353.26
เพชรบูรณ์,48,0%,56,857.14
หนองบัวลำภู,38,0%,24,"1,583.33"
แม่ฮ่องสอน,37,0%,94,393.62
ชลบุรี,20,0%,32,625.00
นครราชสีมา,17,0%,42,404.76
