จังหวัด,ผลผลิต(ตัน),สัดส่วน,เนื้อที่เก็บเกี่ยว(ไร่),ผลผลิตต่อเนื้อที่เก็บเกี่ยว(กก.),Year
จันทบุรี,"85,915",33%,"55,455","1,549.27",2018
ตราด,"76,181",29%,"49,021","1,554.05",2018
สุราษฎร์ธานี,"38,794",15%,"29,206","1,328.29",2018
นราธิวาส,"12,991",5%,"24,057",540.01,2018
ระยอง,"11,128",4%,"7,438","1,496.10",2018
นครศรีธรรมราช,"7,437",3%,"12,889",577,2018
เชียงราย,"4,247",2%,"5,962",712.34,2018
พังงา,"3,291",1%,"5,228",629.5,2018
ศรีสะเกษ,"2,602",1%,"1,762","1,476.73",2018
พัทลุง,"1,800",1%,"4,915",366.23,2018
สงขลา,"1,678",1%,"3,803",441.23,2018
ยะลา,"1,638",1%,"3,277",499.85,2018
พิษณุโลก,"1,317",1%,"1,307","1,007.65",2018
เชียงใหม่,"1,084",0%,"1,549",699.81,2018
น่าน,"1,025",0%,"6,057",169.23,2018
ตรัง,958,0%,"1,605",596.88,2018
บึงกาฬ,944,0%,639,"1,477.31",2018
เลย,933,0%,"1,353",689.58,2018
ชุมพร,856,0%,"2,495",343.09,2018
สตูล,847,0%,"1,248",678.69,2018
หนองคาย,727,0%,636,"1,143.08",2018
กระบี่,698,0%,"1,472",474.18,2018
อุบลราชธานี,638,0%,461,"1,383.95",2018
กาญจนบุรี,611,0%,"1,089",561.07,2018
ปัตตานี,608,0%,"1,560",389.74,2018
สุโขทัย,549,0%,780,703.85,2018
ประจวบคีรีขันธ์,342,0%,412,830.1,2018
ปราจีนบุรี,314,0%,358,877.09,2018
อุตรดิตถ์,266,0%,"1,074",247.67,2018
พะเยา,245,0%,315,777.78,2018
ระนอง,166,0%,480,345.83,2018
ภูเก็ต,122,0%,241,506.22,2018
เพชรบุรี,78,0%,217,359.45,2018
ยโสธร,71,0%,66,"1,075.76",2018
อุทัยธานี,68,0%,82,829.27,2018
นครนายก,65,0%,137,474.45,2018
ราชบุรี,65,0%,184,353.26,2018
เพชรบูรณ์,48,0%,56,857.14,2018
หนองบัวลำภู,38,0%,24,"1,583.33",2018
แม่ฮ่องสอน,37,0%,94,393.62,2018
ชลบุรี,20,0%,32,625,2018
นครราชสีมา,17,0%,42,404.76,2018
